employee_id,src_ip,dest_ip,src_port,dest_port,timestamp,protocol,packet_length
13,192.168.1.19,203.0.113.10,1084,1072,2024-08-07 03:05:25.358142,UDP,187
6,192.168.1.17,203.0.113.10,1017,1051,2024-08-07 11:17:01.358142,UDP,1047
9,192.168.1.13,10.60.0.2,1069,1041,2024-08-06 19:51:27.358142,UDP,1061
12,192.168.1.23,10.0.0.3,1006,1014,2024-08-06 16:41:17.358142,UDP,154
4,192.168.1.10,10.0.0.1,1015,1001,2024-08-07 13:28:21.358142,TCP,1350
5,192.168.1.17,10.0.0.7,1006,1010,2024-08-07 02:22:13.358142,TCP,452
2,192.168.1.13,198.51.10.5,1058,1079,2024-08-06 23:17:34.358142,TCP,1511
6,192.168.1.19,10.0.0.5,1079,1032,2024-08-07 06:15:06.358142,TCP,1435
7,192.168.1.24,203.0.113.10,1001,1017,2024-08-07 14:39:27.358142,UDP,1023
2,192.168.1.22,198.51.100.15,1097,1021,2024-08-06 21:12:15.358142,UDP,715
10,192.168.1.12,10.0.70.4,1006,1011,2024-08-07 05:36:15.358142,TCP,875
5,192.168.1.16,10.60.0.2,1070,1029,2024-08-07 11:16:45.358142,TCP,851
8,192.168.1.20,10.60.0.2,1049,1077,2024-08-07 14:06:44.358142,TCP,1492
12,192.168.1.24,198.51.100.10,1061,1027,2024-08-06 19:11:56.358142,TCP,1235
1,192.168.1.15,198.51.100.10,1021,1080,2024-08-07 09:41:41.358142,TCP,1007
1,192.168.1.10,198.51.100.10,1092,1010,2024-08-07 03:56:58.358142,UDP,1248
4,192.168.1.14,203.0.113.10,1098,1049,2024-08-07 07:57:53.358142,TCP,921
7,192.168.1.10,10.0.0.8,1035,1090,2024-08-06 18:59:11.358142,UDP,1314
15,192.168.1.10,203.0.113.15,1094,1033,2024-08-07 00:46:03.358142,TCP,84
7,192.168.1.22,10.60.0.2,1036,1038,2024-08-06 21:19:03.358142,TCP,363
11,192.168.1.21,198.51.10.5,1043,1002,2024-08-07 06:13:35.358142,UDP,536
1,192.168.1.21,10.0.0.5,1076,1007,2024-08-07 11:16:58.358142,UDP,617
11,192.168.1.15,10.0.0.3,1043,1053,2024-08-07 08:38:34.358142,TCP,142
2,192.168.1.13,10.0.0.3,1027,1044,2024-08-06 20:23:04.358142,UDP,819
8,192.168.1.24,198.51.100.15,1034,1007,2024-08-06 15:10:18.358142,TCP,388
